Region,Property_Type,Average_Price,Sales_Volume,Year,Mortgage_Rate,Deposit_Percent,Energy_Rating,New_Build,Buyer_Type,Affordability_Index,Monthly_Mortgage_cost,Total Interest Paid,25-Year total cost,Loan Amount,Investment_Score,,,Investment_Score_1
North East,Flat,200000,2350,2023,6.4,5,D,No,First Timer,85.11,"£1,271.05","£191,313.97","£381,313.97",190000,940.303525,,1,940.3391667
North East,Flat,200000,2350,2024,5.4,8,D,No,First Timer,85.11,"£1,118.96","£151,687.71","£335,687.71",184000,940.303525,,1,940.3391667
North West,Flat,207000,2430,2023,6.4,5,D,No,First Timer,85.19,"£1,315.53","£198,009.96","£394,659.96",196650,972.3035217,,1,972.3391304
North West,Flat,215000,2520,2024,5.4,5,D,No,First Timer,85.32,"£1,242.11","£168,381.61","£372,631.61",204250,1008.303516,,1,1008.33907
Yorkshire,Flat,215000,2520,2023,6.5,5,D,No,First Timer,85.32,"£1,379.11","£209,483.19","£413,733.19",204250,1008.303516,,1,1008.33907
North East,Flat,205000,2400,2024,5.4,8,D,No,First Timer,85.42,"£1,146.93","£155,479.91","£344,079.91",188600,960.3035122,,1,960.3390244
North West,Flat,218000,2550,2023,6.4,5,D,No,First Timer,85.49,"£1,385.44","£208,532.23","£415,632.23",207100,1020.303509,,1,1020.338991
North East,Flat,185000,2160,2023,6.4,8,D,No,First Timer,85.65,"£1,138.59","£171,377.04","£341,577.04",170200,864.3035027,,1,864.3389189
North East,Flat,210000,2450,2024,5.4,8,D,No,First Timer,85.71,"£1,174.91","£159,272.10","£352,472.10",193200,980.3035,,1,980.3388889
Yorkshire,Flat,210000,2450,2024,5.4,5,D,No,First Timer,85.71,"£1,213.22","£164,465.76","£363,965.76",199500,980.3035,,1,980.3388889
Yorkshire,Flat,220000,2550,2024,5.4,5,D,No,First Timer,86.27,"£1,270.99","£172,297.46","£381,297.46",209000,1020.303477,,1,1020.338636
North East,Flat,185000,2140,2024,5.4,8,D,No,First Timer,86.45,"£1,035.04","£140,311.14","£310,511.14",170200,856.3034703,,1,856.3385586
North West,Flat,225000,2600,2024,5.4,5,D,No,First Timer,86.54,"£1,299.88","£176,213.31","£389,963.31",213750,1040.303467,,1,1040.338519
North West,Flat,230000,2650,2023,6.4,5,D,No,First Timer,86.79,"£1,461.70","£220,011.07","£438,511.07",218500,1060.303457,,1,1060.338406
Yorkshire,Flat,230000,2650,2024,5.4,5,D,No,First Timer,86.79,"£1,328.76","£180,129.16","£398,629.16",218500,1060.303457,,1,1060.338406
Yorkshire,Flat,235000,2700,2023,6.5,5,D,No,First Timer,87.04,"£1,507.40","£228,970.00","£452,220.00",223250,1080.303447,,1,1080.338298
North West,Flat,218000,2500,2023,6.4,5,D,No,First Timer,87.20,"£1,385.44","£208,532.23","£415,632.23",207100,1000.30344,,1,1000.338226
North West,Flat,220000,2520,2024,5.4,5,D,No,First Timer,87.30,"£1,270.99","£172,297.46","£381,297.46",209000,1008.303436,,1,1008.338182
North West,Flat,235000,2680,2024,5.4,5,D,No,First Timer,87.69,"£1,357.65","£184,045.01","£407,295.01",223250,1072.303421,,1,1072.338014
North West,Flat,225000,2550,2023,6.4,5,D,No,First Timer,88.24,"£1,429.93","£215,228.22","£428,978.22",213750,1020.3034,,1,1020.337778
Yorkshire,Flat,220000,2480,2023,6.5,5,D,No,First Timer,88.71,"£1,411.18","£214,354.89","£423,354.89",209000,992.3033818,,1,992.3375758
North West,Flat,245000,2750,2024,5.4,5,D,No,First Timer,89.09,"£1,415.42","£191,876.71","£424,626.71",232750,1100.303367,,1,1100.337415
North West,Flat,250000,2800,2023,6.4,5,D,No,First Timer,89.29,"£1,588.81","£239,142.46","£476,642.46",237500,1120.30336,,1,1120.337333
North East,Flat,168000,1880,2024,5.3,5,D,No,First Timer,89.36,£961.11,"£128,733.93","£288,333.93",159600,752.3033571,,1,752.3373016
North East,Flat,195000,2180,2024,5.4,8,D,No,First Timer,89.45,"£1,090.99","£147,895.52","£327,295.52",179400,872.3033538,,1,872.337265
North West,Flat,255000,2850,2023,6.4,5,D,No,First Timer,89.47,"£1,620.58","£243,925.31","£486,175.31",242250,1140.303353,,1,1140.337255
East Midlands,Flat,270000,2750,2024,5.4,8,D,No,First Timer,98.18,"£1,510.59","£204,778.41","£453,178.41",248400,1100.303056,,1,1100.333951
East Midlands,Flat,275000,2800,2024,5.4,8,D,No,First Timer,98.21,"£1,538.57","£208,570.61","£461,570.61",253000,1120.303055,,1,1120.333939
East Midlands,Flat,280000,2850,2024,5.4,8,D,No,First Timer,98.25,"£1,566.54","£212,362.80","£469,962.80",257600,1140.303054,,1,1140.333929
East Midlands,Flat,282000,2860,2024,5.4,8,D,No,First Timer,98.60,"£1,577.73","£213,879.68","£473,319.68",259440,1144.303043,,1,1144.333806
East Midlands,Flat,225000,2250,2024,5.3,8,D,No,First Timer,100.00,"£1,246.56","£166,966.94","£373,966.94",207000,900.303,,1,900.3333333
East Midlands,Flat,265000,2650,2024,5.4,8,D,No,First Timer,100.00,"£1,482.62","£200,986.22","£444,786.22",243800,1060.303,,1,1060.333333
West Midlands,Flat,280000,2800,2024,5.3,7,D,No,First Timer,100.00,"£1,568.13","£210,039.57","£470,439.57",260400,1120.303,,1,1120.333333
East Midlands,Flat,262000,2600,2024,5.4,8,D,No,First Timer,100.77,"£1,465.84","£198,710.91","£439,750.91",241040,1040.302977,,1,1040.333079
West Midlands,Flat,278000,2750,2024,5.3,7,D,No,First Timer,101.09,"£1,556.93","£208,539.29","£467,079.29",258540,1100.302968,,1,1100.332974
North West,Terraced,300000,2950,2024,5.4,10,D,No,First Timer,101.69,"£1,641.95","£222,585.23","£492,585.23",270000,1180.30295,,1,1180.332778
Yorkshire,Terraced,300000,2950,2024,5.5,10,D,No,First Timer,101.69,"£1,658.04","£227,410.87","£497,410.87",270000,1180.30295,,1,1180.332778
West Midlands,Flat,300000,2950,2024,5.3,7,D,No,First Timer,101.69,"£1,680.14","£225,042.40","£504,042.40",279000,1180.30295,,1,1180.332778
Yorkshire,Terraced,295000,2900,2024,5.5,10,D,No,First Timer,101.72,"£1,630.40","£223,620.69","£489,120.69",265500,1160.302949,,1,1160.332768
West Midlands,Flat,295000,2900,2024,5.3,7,D,No,First Timer,101.72,"£1,652.14","£221,291.69","£495,641.69",274350,1160.302949,,1,1160.332768
Yorkshire,Terraced,290000,2850,2024,5.5,10,D,No,First Timer,101.75,"£1,602.77","£219,830.51","£480,830.51",261000,1140.302948,,1,1140.332759
West Midlands,Flat,290000,2850,2024,5.3,7,D,No,First Timer,101.75,"£1,624.14","£217,540.99","£487,240.99",269700,1140.302948,,1,1140.332759
West Midlands,Flat,275000,2700,2024,5.3,7,D,No,First Timer,101.85,"£1,540.13","£206,288.87","£462,038.87",255750,1080.302945,,1,1080.332727
West Midlands,Flat,302000,2965,2024,5.3,7,D,No,First Timer,101.85,"£1,691.34","£226,542.68","£507,402.68",280860,1186.302945,,1,1186.332726
East Midlands,Flat,260000,2550,2024,5.4,8,D,No,First Timer,101.96,"£1,454.65","£197,194.03","£436,394.03",239200,1020.302942,,1,1020.332692
Yorkshire,Terraced,302000,2960,2024,5.5,10,D,No,First Timer,102.03,"£1,669.09","£228,926.94","£500,726.94",271800,1184.30294,,1,1184.332671
East Midlands,Flat,240000,2350,2024,5.4,8,D,No,First Timer,102.13,"£1,342.75","£182,025.26","£402,825.26",220800,940.3029375,,1,940.3326389
East Midlands,Flat,235000,2300,2023,6.5,8,D,No,First Timer,102.17,"£1,459.80","£221,739.36","£437,939.36",216200,920.3029362,,1,920.3326241
East Midlands,Flat,230000,2250,2023,6.5,8,D,No,First Timer,102.22,"£1,428.74","£217,021.51","£428,621.51",211600,900.3029348,,1,900.3326087
West Midlands,Flat,272000,2650,2024,5.3,7,D,No,First Timer,102.64,"£1,523.33","£204,038.44","£456,998.44",252960,1060.302923,,1,1060.332475
North West,Terraced,298000,2900,2024,5.4,10,D,No,First Timer,102.76,"£1,631.00","£221,101.33","£489,301.33",268200,1160.302919,,1,1160.332438
East Midlands,Flat,232000,2250,2024,5.3,8,D,No,First Timer,103.11,"£1,285.34","£172,161.47","£385,601.47",213440,900.3029095,,1,900.3323276
East Midlands,Flat,258000,2500,2024,5.4,8,D,No,First Timer,103.20,"£1,443.46","£195,677.15","£433,037.15",237360,1000.302907,,1,1000.3323
East Midlands,Flat,225000,2180,2024,5.4,5,D,No,First Timer,103.21,"£1,299.88","£176,213.31","£389,963.31",213750,872.3029067,,1,872.3322963
North West,Terraced,320000,3100,2024,5.4,10,D,No,First Timer,103.23,"£1,751.41","£237,424.25","£525,424.25",288000,1240.302906,,1,1240.332292
North West,Terraced,315000,3050,2024,5.4,10,D,No,First Timer,103.28,"£1,724.05","£233,714.49","£517,214.49",283500,1220.302905,,1,1220.332275
North West,Terraced,310000,3000,2024,5.4,10,D,No,First Timer,103.33,"£1,696.68","£230,004.74","£509,004.74",279000,1200.302903,,1,1200.332258
North West,Terraced,295000,2850,2024,5.4,10,D,No,First Timer,103.51,"£1,614.58","£218,875.48","£484,375.48",265500,1140.302898,,1,1140.332203
North West,Terraced,322000,3110,2024,5.4,10,D,No,First Timer,103.54,"£1,762.36","£238,908.15","£528,708.15",289800,1244.302898,,1,1244.332195
North East,Terraced,280000,2700,2024,5.4,6,D,No,First Timer,103.70,"£1,600.60","£216,979.38","£480,179.38",263200,1080.302893,,1,1080.332143
East Midlands,Flat,220000,2120,2023,6.6,8,D,No,First Timer,103.77,"£1,379.29","£211,388.04","£413,788.04",202400,848.3028909,,1,848.3321212
North East,Terraced,275000,2650,2024,5.4,6,D,No,First Timer,103.77,"£1,572.02","£213,104.75","£471,604.75",258500,1060.302891,,1,1060.332121
West Midlands,Flat,270000,2600,2024,5.3,7,D,No,First Timer,103.85,"£1,512.13","£202,538.16","£453,638.16",251100,1040.302889,,1,1040.332099
North East,Terraced,270000,2600,2024,5.4,6,D,No,First Timer,103.85,"£1,543.43","£209,230.12","£463,030.12",253800,1040.302889,,1,1040.332099
East Midlands,Flat,260000,2500,2024,5.4,8,D,No,First Timer,104.00,"£1,454.65","£197,194.03","£436,394.03",239200,1000.302885,,1,1000.332051
West Midlands,Flat,232000,2230,2024,5.3,7,D,No,First Timer,104.04,"£1,299.31","£174,032.79","£389,792.79",215760,892.3028836,,1,892.3320402
North East,Terraced,282000,2710,2024,5.4,6,D,No,First Timer,104.06,"£1,612.03","£218,529.24","£483,609.24",265080,1084.302883,,1,1084.332033
East Midlands,Flat,255000,2450,2024,5.4,8,D,No,First Timer,104.08,"£1,426.67","£193,401.84","£428,001.84",234600,980.3028824,,1,980.3320261
East Midlands,Flat,250000,2400,2023,6.5,8,D,No,First Timer,104.17,"£1,552.98","£235,892.94","£465,892.94",230000,960.30288,,1,960.332
West Midlands,Flat,223000,2140,2024,5.4,7,D,No,First Timer,104.21,"£1,261.20","£170,970.19","£378,360.19",207390,856.3028789,,1,856.331988
North West,Terraced,292000,2800,2024,5.4,10,D,No,First Timer,104.29,"£1,598.17","£216,649.63","£479,449.63",262800,1120.302877,,1,1120.331963
West Midlands,Flat,235000,2250,2023,6.3,7,D,No,First Timer,104.44,"£1,448.47","£215,990.86","£434,540.86",218550,900.3028723,,1,900.3319149
East Midlands,Flat,230000,2200,2023,6.5,8,D,No,First Timer,104.55,"£1,428.74","£217,021.51","£428,621.51",211600,880.3028696,,1,880.3318841
West Midlands,Flat,240000,2280,2024,5.3,7,D,No,First Timer,105.26,"£1,344.11","£180,033.92","£403,233.92",223200,912.30285,,1,912.3316667
East Midlands,Flat,214000,2030,2024,5.4,5,D,No,First Timer,105.42,"£1,236.33","£167,598.44","£370,898.44",203300,812.3028458,,1,812.3316199
North West,Terraced,290000,2750,2024,5.4,10,D,No,First Timer,105.45,"£1,587.22","£215,165.73","£476,165.73",261000,1100.302845,,1,1100.331609
West Midlands,Flat,230000,2180,2023,6.2,7,D,No,First Timer,105.50,"£1,404.43","£207,428.73","£421,328.73",213900,872.3028435,,1,872.3315942
West Midlands,Flat,270000,2550,2024,5.3,7,D,No,First Timer,105.88,"£1,512.13","£202,538.16","£453,638.16",251100,1020.302833,,1,1020.331481
West Midlands,Flat,270000,2550,2023,6.3,7,D,No,First Timer,105.88,"£1,664.20","£248,159.71","£499,259.71",251100,1020.302833,,1,1020.331481
West Midlands,Flat,260000,2450,2024,5.3,7,D,No,First Timer,106.12,"£1,456.12","£195,036.75","£436,836.75",241800,980.3028269,,1,980.3314103
West Midlands,Flat,255000,2400,2024,5.3,7,D,No,First Timer,106.25,"£1,428.12","£191,286.04","£428,436.04",237150,960.3028235,,1,960.3313725
West Midlands,Flat,250000,2350,2024,5.3,7,D,No,First Timer,106.38,"£1,400.12","£187,535.33","£420,035.33",232500,940.30282,,1,940.3313333
West Midlands,Flat,245000,2300,2024,5.3,7,D,No,First Timer,106.52,"£1,372.12","£183,784.63","£411,634.63",227850,920.3028163,,1,920.3312925
East Midlands,Flat,245000,2300,2024,5.4,8,D,No,First Timer,106.52,"£1,370.72","£185,817.45","£411,217.45",225400,920.3028163,,1,920.3312925
West Midlands,Flat,240000,2250,2023,6.3,7,D,No,First Timer,106.67,"£1,479.29","£220,586.41","£443,786.41",223200,900.3028125,,1,900.33125
West Midlands,Flat,240000,2250,2024,5.3,7,D,No,First Timer,106.67,"£1,344.11","£180,033.92","£403,233.92",223200,900.3028125,,1,900.33125
East Midlands,Flat,240000,2250,2024,5.4,8,D,No,First Timer,106.67,"£1,342.75","£182,025.26","£402,825.26",220800,900.3028125,,1,900.33125
East Midlands,Flat,235000,2200,2024,5.4,8,D,No,First Timer,106.82,"£1,314.78","£178,233.06","£394,433.06",216200,880.3028085,,1,880.3312057
East Midlands,Flat,225000,2100,2024,5.4, 8 ,D,No,First Timer,107.14,"£1,258.83","£170,648.68","£377,648.68",207000,840.3028,,1,840.3311111
West Midlands,Flat,250000,2330,2024,5.3,7,D,No,First Timer,107.30,"£1,400.12","£187,535.33","£420,035.33",232500,932.302796,,1,932.3310667
West Midlands,Flat,240000,2230,2024,5.3,7,D,No,First Timer,107.62,"£1,344.11","£180,033.92","£403,233.92",223200,892.3027875,,1,892.3309722
North West,Terraced,280000,2600,2024,5.4,10,D,No,First Timer,107.69,"£1,532.49","£207,746.22","£459,746.22",252000,1040.302786,,1,1040.330952
East Midlands,Flat,235000,2180,2024,5.4,5,D,No,First Timer,107.80,"£1,357.65","£184,045.01","£407,295.01",223250,872.302783,,1,872.330922
North West,Terraced,275000,2550,2024,5.4,10,D,No,First Timer,107.84,"£1,505.12","£204,036.46","£451,536.46",247500,1020.302782,,1,1020.330909
North West,Terraced,270000,2500,2024,5.4,10,D,No,First Timer,108.00,"£1,477.76","£200,326.71","£443,326.71",243000,1000.302778,,1,1000.330864
West Midlands,Flat,255000,2360,2023,6.3,7,D,No,First Timer,108.05,"£1,571.74","£234,373.06","£471,523.06",237150,944.3027765,,1,944.3308497
West Midlands,Flat,228000,2100,2023,6.6,7,D,No,First Timer,108.57,"£1,444.99","£221,456.12","£433,496.12",212040,840.3027632,,1,840.3307018
Yorkshire,Terraced,250000,2300,2024,5.5,10,D,No,First Timer,108.70,"£1,381.70","£189,509.06","£414,509.06",225000,920.30276,,1,920.3306667
East Midlands,Flat,240000,2200,2023,6.5,8,D,No,First Timer,109.09,"£1,490.86","£226,457.22","£447,257.22",220800,880.30275,,1,880.3305556
West Midlands,Flat,250000,2280,2024,5.3,7,D,No,First Timer,109.65,"£1,400.12","£187,535.33","£420,035.33",232500,912.302736,,1,912.3304
North East,Terraced,258000,2350,2024,5.4,6,D,No,First Timer,109.79,"£1,474.84","£199,931.00","£442,451.00",242520,940.3027326,,1,940.3303618
North West,Terraced,260000,2360,2024,5.4,10,D,No,First Timer,110.17,"£1,423.02","£192,907.20","£426,907.20",234000,944.3027231,,1,944.3302564
Yorkshire,Terraced,270000,2450,2023,6.5,10,D,No,First Timer,110.20,"£1,640.75","£249,226.02","£492,226.02",243000,980.3027222,,1,980.3302469
Yorkshire,Terraced,255000,2300,2024,5.5,10,D,No,First Timer,110.87,"£1,409.33","£193,299.24","£422,799.24",229500,920.3027059,,1,920.3300654
North East,Terraced,255000,2300,2024,5.4,6,D,No,First Timer,110.87,"£1,457.69","£197,606.22","£437,306.22",239700,920.3027059,,1,920.3300654
North East,Terraced,252000,2250,2024,5.4,6,D,No,First Timer,112.00,"£1,440.54","£195,281.44","£432,161.44",236880,900.3026786,,1,900.3297619
East of England,Flat,279000,2490,2023,6,10,C,No,First Timer,112.05,"£1,617.84","£234,252.25","£485,352.25",251100,996.6026774,,2,996.6297491
West Midlands,Flat,250000,2230,2024,5.3,7,D,No,First Timer,112.11,"£1,400.12","£187,535.33","£420,035.33",232500,892.302676,,1,892.3297333
Yorkshire,Terraced,240000,2140,2024,5.5,10,D,No,First Timer,112.15,"£1,326.43","£181,928.69","£397,928.69",216000,856.302675,,1,856.3297222
East of England,Flat,276000,2460,2024,5.1,10,C,No,First Timer,112.20,"£1,466.63","£191,589.23","£439,989.23",248400,984.6026739,,2,984.6297101
North West,Terraced,248000,2210,2024,5.5,8,D,No,First Timer,112.22,"£1,401.10","£192,170.61","£420,330.61",228160,884.3026734,,1,884.3297043
South West,Flat,255000,2270,2024,5.2,12,C,No,First Timer,112.33,"£1,338.10","£177,030.18","£401,430.18",224400,908.6026706,,2,908.6296732
East of England,Flat,273000,2430,2024,5.1,10,C,No,First Timer,112.35,"£1,450.69","£189,506.74","£435,206.74",245700,972.6026703,,2,972.6296703
East of England,Flat,282000,2510,2024,5.2,10,C,No,First Timer,112.35,"£1,513.41","£200,223.98","£454,023.98",253800,1004.60267,,2,1004.629669
East of England,Flat,285000,2530,2023,6,10,C,No,First Timer,112.65,"£1,652.63","£239,289.93","£495,789.93",256500,1012.602663,,2,1012.629591
Yorkshire,Terraced,248000,2200,2023,6.5,10,D,No,First Timer,112.73,"£1,507.06","£228,918.72","£452,118.72",223200,880.3026613,,1,880.3295699
North West,Terraced,254000,2240,2023,6.3,10,D,No,First Timer,113.39,"£1,515.08","£225,923.18","£454,523.18",228600,896.3026457,,1,896.3293963
North East,Terraced,250000,2200,2024,5.4,6,D,No,First Timer,113.64,"£1,429.11","£193,731.59","£428,731.59",235000,880.30264,,1,880.3293333
East of England,Flat,290000,2550,2024,5.2,10,C,No,First Timer,113.73,"£1,556.35","£205,904.09","£466,904.09",261000,1020.602638,,2,1020.62931
North West,Terraced,265000,2330,2023,6.3,10,D,No,First Timer,113.73,"£1,580.69","£235,707.25","£474,207.25",238500,932.3026377,,1,932.3293082
North West,Terraced,262000,2300,2024,5.4,10,D,No,First Timer,113.91,"£1,433.97","£194,391.10","£430,191.10",235800,920.3026336,,1,920.3292621
East of England,Flat,295000,2580,2024,5.2,10,C,No,First Timer,114.34,"£1,583.18","£209,454.16","£474,954.16",265500,1032.602624,,2,1032.629153
North West,Terraced,270000,2360,2024,5.4,10,D,No,First Timer,114.41,"£1,477.76","£200,326.71","£443,326.71",243000,944.3026222,,1,944.3291358
East of England,Flat,300000,2600,2024,5.2,10,C,No,First Timer,115.38,"£1,610.01","£213,004.23","£483,004.23",270000,1040.6026,,2,1040.628889
East of England,Flat,290000,2510,2024,5.2,10,C,No,First Timer,115.54,"£1,556.35","£205,904.09","£466,904.09",261000,1004.602597,,2,1004.628851
North West,Terraced,275000,2380,2023,6.3,10,D,No,First Timer,115.55,"£1,640.34","£244,601.86","£492,101.86",247500,952.3025964,,1,952.3288485
South West,Flat,295000,2550,2024,5.2,12,C,No,First Timer,115.69,"£1,548.00","£204,799.62","£464,399.62",259600,1020.602593,,2,1020.628814
North East,Terraced,220000,1900,2023,6.6,6,D,No,First Timer,115.79,"£1,409.28","£215,983.43","£422,783.43",206800,760.3025909,,1,760.3287879
South West,Flat,270000,2330,2024,5.2,12,C,No,First Timer,115.88,"£1,416.81","£187,443.72","£425,043.72",237600,932.6025889,,2,932.6287654
Yorkshire,Terraced,255000,2200,2023,6.5,10,D,No,First Timer,115.91,"£1,549.60","£235,380.13","£464,880.13",229500,880.3025882,,1,880.3287582
North East,Terraced,218000,1880,2024,5.3,6,D,No,First Timer,115.96,"£1,234.03","£165,289.21","£370,209.21",204920,752.3025872,,1,752.3287462
East of England,Flat,325000,2800,2024,5.2,10,C,No,First Timer,116.07,"£1,744.18","£230,754.58","£523,254.58",292500,1120.602585,,2,1120.628718
North East,Terraced,214000,1840,2023,6.5,6,D,No,First Timer,116.30,"£1,358.25","£206,314.02","£407,474.02",201160,736.3025794,,1,736.3286604
East of England,Flat,320000,2750,2023,6,10,C,No,First Timer,116.36,"£1,855.59","£268,676.41","£556,676.41",288000,1100.602578,,2,1100.628646
East of England,Flat,305000,2620,2023,6,10,C,No,First Timer,116.41,"£1,768.61","£256,082.20","£530,582.20",274500,1048.602577,,2,1048.628634
North East,Terraced,212000,1820,2023,6.7,6,D,No,First Timer,116.48,"£1,370.56","£211,888.93","£411,168.93",199280,728.3025755,,1,728.3286164
North East,Terraced,225000,1930,2024,5.3,6,D,No,First Timer,116.58,"£1,273.66","£170,596.66","£382,096.66",211500,772.3025733,,1,772.3285926
East of England,Flat,295000,2530,2023,6,10,C,No,First Timer,116.60,"£1,710.62","£247,686.07","£513,186.07",265500,1012.602573,,2,1012.628588
South West,Flat,280000,2400,2024,5.2,12,C,No,First Timer,116.67,"£1,469.29","£194,386.08","£440,786.08",246400,960.6025714,,2,960.6285714
North West,Terraced,280000,2400,2024,5.4,10,D,No,First Timer,116.67,"£1,532.49","£207,746.22","£459,746.22",252000,960.3025714,,1,960.3285714
East of England,Flat,315000,2700,2024,5.2,10,C,No,First Timer,116.67,"£1,690.51","£223,654.44","£507,154.44",283500,1080.602571,,2,1080.628571
North West,Terraced,290000,2480,2023,6.3,10,D,No,First Timer,116.94,"£1,729.81","£257,943.78","£518,943.78",261000,992.3025655,,1,992.3285057
North East,Terraced,240000,2050,2024,5.4,6,D,No,First Timer,117.07,"£1,371.94","£185,982.33","£411,582.33",225600,820.3025625,,1,820.3284722
