Journey_ID,Day_of_Week,Time_of_Day,Transport_Mode,Distance_km,Journey_Duration_mins,Average_Speed,Delay_mins,Weather_Type,Temperature_C,Air_Quality_Index,CO2_Emissions_g,Passenger_Count,Ticket_Price,Satisfaction_Score,Incident_Reported,Late_Arrival,Frequent_Traveller 
442,Friday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No 443
448,Friday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No 449
451,Saturday,00:25:00,Train,20.4,46,26.7,1,Cloudy,10,68,160,160,3.60,8,No,No,Yes 452
454,Saturday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No 455
460,Saturday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 461
466,Saturday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 467
472,Saturday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 473
478,Saturday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 479
484,Saturday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 485
490,Saturday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 491
496,Saturday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 497
501,Saturday,12:55:00,Walk,1.2,18,4,0,Clear,23,94,0,1,NA,10,No,No,No 
502,Saturday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 503
508,Saturday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 509
514,Saturday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 515
520,Saturday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 521
526,Saturday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No 527
532,Saturday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No 533
538,Saturday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No 539
544,Saturday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No 545
550,Sunday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No
551,Sunday,01:25:00,Car,7.3,26,17,0,Clear,8,62,420,1,4.20,9,No,No,Yes 552
556,Sunday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 557
562,Sunday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 563
568,Sunday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 569
574,Sunday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 575
580,Sunday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 581
586,Sunday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 587
592,Sunday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 593
598,Sunday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 599
601,Sunday,13:55:00,Train,20.2,45,27,1,Clear,25,86,150,150,3.50,9,No,No,Yes 602
604,Sunday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 605
610,Sunday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 611
616,Sunday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 617
622,Sunday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No 623
628,Sunday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No 629
634,Sunday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No 635
640,Sunday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No 641
646,Monday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No 647
651,Monday,02:25:00,Walk,1.1,17,3.8,0,Clear,6,55,0,1,NA,10,No,No,No 
652,Monday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 653
658,Monday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 659
664,Monday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 665
670,Monday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 671
676,Monday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 677
682,Monday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 683
688,Monday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 689
694,Monday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 695
700,Monday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No
701,Monday,14:55:00,Car,7,24,17.5,1,Cloudy,27,90,390,1,4.00,8,No,No,Yes 702
706,Monday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 707
712,Monday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 713
718,Monday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No 719
724,Monday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No 725
730,Monday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No 731
736,Monday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No 737
742,Tuesday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No 743
748,Tuesday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 749
751,Tuesday,03:25:00,Train,20.6,46,26.9,1,Cloudy,4,48,160,160,3.60,8,No,No,Yes 752
754,Tuesday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 755
760,Tuesday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 761
766,Tuesday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 767
772,Tuesday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 773
778,Tuesday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 779
784,Tuesday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 785
790,Tuesday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 791
796,Tuesday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 797
801,Tuesday,15:55:00,Walk,1,17,3.6,0,Cloudy,24,96,0,1,NA,9,No,No,No 
802,Tuesday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 803
808,Tuesday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 809
814,Tuesday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No 815
820,Tuesday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No 821
826,Tuesday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No 827
832,Tuesday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No 833
851,Wednesday,04:25:00,Car,6.9,24,17.3,0,Clear,3,44,390,1,4.00,9,No,No,Yes 852
901,Wednesday,16:55:00,Train,19.3,44,25.4,4,Rain,20,150,170,170,3.70,6,No,Yes,Yes 902
934,Thursday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No 935
940,Thursday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 941
946,Thursday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 947
951,Thursday,05:25:00,Walk,1.2,17,4.1,0,Clear,2,39,0,1,NA,10,No,No,No 
952,Thursday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 953
958,Thursday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 959
964,Thursday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 965
970,Thursday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 971
976,Thursday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 977
982,Thursday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 983
988,Thursday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 989
994,Thursday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 995
1000,Thursday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No
1001,Thursday,17:55:00,Car,7.7,29,16,6,Cloudy,18,130,420,1,4.20,6,No,Yes,Yes 1002
1030,Friday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No 1031
1036,Friday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No 1037
1042,Friday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No 1043
1048,Friday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No 1049
1051,Friday,06:25:00,Train,22.3,49,26.9,2,Cloudy,6,60,160,160,3.60,7,No,Yes,Yes 1052
1054,Friday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No 1055
1060,Friday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No 1061
1066,Friday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No 1067
1072,Friday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No 1073
1078,Friday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No 1079
1084,Friday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No 1085
1090,Friday,16:10:00,E-scooter,3,14,12.9,2,Rain,23,110,0,1,1.10,7,Yes,Yes,No 1091
1096,Friday,17:40:00,E-scooter,2.9,15,11.7,3,Rain,19,142,0,1,1.00,6,Yes,Yes,No 1097
1101,Friday,18:55:00,Walk,1.2,18,4,0,Cloudy,17,115,0,1,NA,9,No,No,No
1102,Friday,19:10:00,E-scooter,3.1,14,13.3,1,Clear,18,110,0,1,1.10,8,No,No,No
1103,Friday,19:25:00,Car,6.8,23,17.7,0,Clear,18,108,390,1,4.00,9,No,No,Yes
1104,Friday,19:40:00,Bus,10.7,36,17.8,1,Clear,19,105,330,29,2.70,8,No,No,No
1105,Friday,19:55:00,Train,19.9,43,27.4,0,Clear,19,102,150,150,3.50,9,No,No,Yes
1106,Friday,20:10:00,Bike,3.7,16,14.5,0,Clear,18,100,0,1,NA,9,No,No,No
1107,Friday,20:25:00,Walk,1,17,3.7,0,Clear,18,98,0,1,NA,10,No,No,No
1108,Friday,20:40:00,E-scooter,2.8,13,13,1,Clear,17,95,0,1,1.00,8,No,No,No
1109,Friday,20:55:00,Car,7,24,17.5,0,Clear,17,93,410,1,4.10,9,No,No,Yes
1110,Friday,21:10:00,Bus,10.6,35,17.9,1,Clear,16,90,330,28,2.70,8,No,No,No
1111,Friday,21:25:00,Train,20.1,44,27.1,0,Clear,16,88,150,150,3.50,9,No,No,Yes
1112,Friday,21:40:00,Bike,3.8,16,14.3,0,Clear,15,86,0,1,NA,9,No,No,No
1113,Friday,21:55:00,Walk,1.1,17,3.8,0,Clear,15,85,0,1,NA,10,No,No,No
1114,Friday,22:10:00,E-scooter,3,14,13.1,1,Clear,14,83,0,1,1.00,8,No,No,No
1115,Friday,22:25:00,Car,7.2,25,17.3,0,Clear,14,82,410,1,4.10,9,No,No,Yes
1116,Friday,22:40:00,Bus,10.8,36,17.6,1,Clear,13,80,330,29,2.70,8,No,No,No
1117,Friday,22:55:00,Train,19.7,43,27.3,0,Clear,13,78,150,150,3.50,9,No,No,Yes
1118,Friday,23:10:00,Bike,3.6,15,14.4,0,Clear,12,76,0,1,NA,9,No,No,No
1119,Friday,23:25:00,Walk,1,16,3.7,0,Clear,12,75,0,1,NA,10,No,No,No
1120,Friday,23:40:00,E-scooter,2.9,13,13,1,Clear,11,73,0,1,1.00,8,No,No,No
1121,Friday,23:55:00,Car,7,24,17.5,0,Clear,11,72,390,1,4.00,9,No,No,Yes
1122,Saturday,00:10:00,Bus,10.9,37,17.8,2,Cloudy,10,70,340,30,2.80,8,No,No,No
1123,Saturday,00:25:00,Train,20.4,46,26.7,1,Cloudy,10,68,160,160,3.60,8,No,No,Yes
1124,Saturday,00:40:00,Bike,3.7,15,14.6,0,Cloudy,9,66,0,1,NA,9,No,No,No
1125,Saturday,00:55:00,Walk,1.2,18,4,0,Cloudy,9,65,0,1,NA,10,No,No,No
1126,Saturday,01:10:00,E-scooter,3.1,14,13.2,1,Cloudy,8,63,0,1,1.10,8,No,No,No
1127,Saturday,01:25:00,Car,7.3,26,17,0,Clear,8,62,420,1,4.20,9,No,No,Yes
1128,Saturday,01:40:00,Bus,11.1,38,17.4,2,Clear,7,60,330,29,2.70,8,No,No,No
1129,Saturday,01:55:00,Train,21.3,48,26.8,1,Clear,7,58,160,160,3.60,9,No,No,Yes
1130,Saturday,02:10:00,Bike,3.8,16,14.2,0,Clear,6,56,0,1,NA,9,No,No,No
1131,Saturday,02:25:00,Walk,1.1,17,3.8,0,Clear,6,55,0,1,NA,10,No,No,No
1132,Saturday,02:40:00,E-scooter,2.8,13,12.9,1,Clear,5,53,0,1,1.00,8,No,No,No
1133,Saturday,02:55:00,Car,7.1,25,17,0,Clear,5,52,410,1,4.10,9,No,No,Yes
1134,Saturday,03:10:00,Bus,10.7,36,17.7,1,Cloudy,5,50,330,29,2.80,7,No,No,No
1135,Saturday,03:25:00,Train,20.6,46,26.9,1,Cloudy,4,48,160,160,3.60,8,No,No,Yes
1136,Saturday,03:40:00,Bike,3.9,17,14.1,0,Cloudy,4,47,0,1,NA,8,No,No,No
1137,Saturday,03:55:00,Walk,1,16,3.6,0,Cloudy,3,46,0,1,NA,9,No,No,No
1138,Saturday,04:10:00,E-scooter,3,14,13,1,Cloudy,3,45,0,1,1.10,8,No,No,No
1139,Saturday,04:25:00,Car,6.9,24,17.3,0,Clear,3,44,390,1,4.00,9,No,No,Yes
1140,Saturday,04:40:00,Bus,10.5,35,17.8,1,Clear,2,42,330,28,2.70,8,No,No,No
1141,Saturday,04:55:00,Train,19.9,43,27.4,0,Clear,2,41,150,150,3.50,9,No,No,Yes
1142,Saturday,05:10:00,Bike,3.6,15,14.4,0,Clear,2,40,0,1,NA,9,No,No,No
1143,Saturday,05:25:00,Walk,1.2,17,4.1,0,Clear,2,39,0,1,NA,10,No,No,No
1144,Saturday,05:40:00,E-scooter,2.9,13,12.9,1,Clear,3,40,0,1,1.00,8,No,No,No
1145,Saturday,05:55:00,Car,7.4,26,16.8,1,Cloudy,4,45,420,1,4.20,8,No,No,Yes
1146,Saturday,06:10:00,Bus,11.2,39,16.9,3,Cloudy,5,55,340,30,2.80,7,No,Yes,No
1147,Saturday,06:25:00,Train,22.3,49,26.9,2,Cloudy,6,60,160,160,3.60,7,No,Yes,Yes
1148,Saturday,06:40:00,Bike,3.9,16,14.6,0,Cloudy,7,62,0,1,NA,8,No,No,No
1149,Saturday,06:55:00,Walk,1.1,18,3.8,0,Cloudy,8,65,0,1,NA,9,No,No,No
1150,Saturday,07:10:00,E-scooter,3,14,13,2,Rain,9,75,0,1,1.10,7,Yes,Yes,No
1151,Saturday,07:25:00,Car,8.1,32,15,8,Rain,10,90,430,1,4.30,5,No,Yes,Yes
1152,Saturday,07:40:00,Bus,12.3,50,14.6,15,Rain,11,110,360,35,2.90,4,Yes,Yes,No
1153,Saturday,07:55:00,Train,19.1,45,25.3,4,Rain,12,120,170,170,3.70,6,No,Yes,Yes
1154,Saturday,08:10:00,Bike,3.4,16,12.8,0,Rain,12,118,0,1,NA,7,No,No,No
1155,Saturday,08:25:00,Walk,1,19,3.1,0,Rain,13,125,0,1,NA,7,No,No,No
1156,Saturday,08:40:00,E-scooter,2.9,15,11.6,3,Rain,13,130,0,1,1.00,6,Yes,Yes,No
1157,Saturday,08:55:00,Car,7.6,28,16.3,5,Rain,14,135,420,1,4.20,6,No,Yes,Yes
1158,Saturday,09:10:00,Bus,11.5,42,16.4,7,Rain,14,140,350,32,2.80,5,Yes,Yes,No
1159,Saturday,09:25:00,Train,20.3,47,25.9,3,Rain,15,145,160,160,3.60,6,No,Yes,Yes
1160,Saturday,09:40:00,Bike,3.8,17,13.4,0,Rain,15,142,0,1,NA,7,No,No,No
1161,Saturday,09:55:00,Walk,1.1,19,3.5,0,Rain,16,140,0,1,NA,7,No,No,No
1162,Saturday,10:10:00,E-scooter,3,14,12.9,2,Cloudy,17,130,0,1,1.10,7,No,No,No
1163,Saturday,10:25:00,Car,6.9,23,18,1,Cloudy,18,120,390,1,4.00,8,No,No,Yes
1164,Saturday,10:40:00,Bus,10.8,35,18.5,2,Cloudy,18,118,330,29,2.70,8,No,No,No
1165,Saturday,10:55:00,Train,19.6,43,27.3,1,Cloudy,19,115,150,150,3.50,9,No,No,Yes
1166,Saturday,11:10:00,Bike,3.7,16,13.9,0,Clear,20,110,0,1,NA,9,No,No,No
1167,Saturday,11:25:00,Walk,1,17,3.6,0,Clear,20,108,0,1,NA,10,No,No,No
1168,Saturday,11:40:00,E-scooter,2.9,13,13.4,1,Clear,21,105,0,1,1.00,8,No,No,No
1169,Saturday,11:55:00,Car,7.1,25,17,0,Clear,21,102,410,1,4.10,9,No,No,Yes
1170,Saturday,12:10:00,Bus,11,38,17.4,3,Clear,22,100,340,30,2.80,8,No,No,No
1171,Saturday,12:25:00,Train,21.4,48,26.8,1,Clear,22,98,160,160,3.60,9,No,No,Yes
1172,Saturday,12:40:00,Bike,3.9,16,14.6,0,Clear,23,95,0,1,NA,9,No,No,No
1173,Saturday,12:55:00,Walk,1.2,18,4,0,Clear,23,94,0,1,NA,10,No,No,No
1174,Saturday,13:10:00,E-scooter,3.1,14,13.2,1,Clear,24,92,0,1,1.10,8,No,No,No
1175,Saturday,13:25:00,Car,7.4,26,17.1,0,Clear,24,90,420,1,4.20,9,No,No,Yes
1176,Saturday,13:40:00,Bus,10.9,37,17.8,2,Clear,25,88,330,29,2.70,8,No,No,No
1177,Saturday,13:55:00,Train,20.2,45,27,1,Clear,25,86,150,150,3.50,9,No,No,Yes
1178,Saturday,14:10:00,Bike,3.6,15,14.4,0,Clear,26,85,0,1,NA,9,No,No,No
1179,Saturday,14:25:00,Walk,1.1,17,3.8,0,Clear,26,84,0,1,NA,10,No,No,No
1180,Saturday,14:40:00,E-scooter,2.8,13,13,1,Clear,27,82,0,1,1.00,8,No,No,No
1181,Saturday,14:55:00,Car,7,24,17.5,1,Cloudy,27,90,390,1,4.00,8,No,No,Yes
1182,Saturday,15:10:00,Bus,11.3,39,17.3,4,Cloudy,26,95,340,31,2.80,7,No,Yes,No
